"","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"297","CORRIENTES, AR",1980-10-26,0,29.1,NA,22
"298","CORRIENTES, AR",1980-10-27,0,25.8,NA,NA
"299","CORRIENTES, AR",1980-10-28,0,23.1,30,21
"300","CORRIENTES, AR",1980-10-30,0.5,20.7,NA,16
"301","CORRIENTES, AR",1980-10-31,0,21,NA,13
"302","CORRIENTES, AR",1980-11-01,NA,21.9,26,NA
"303","CORRIENTES, AR",1980-11-02,0,25.7,NA,14
"304","CORRIENTES, AR",1980-11-03,0,27.5,32,21
"305","CORRIENTES, AR",1980-11-04,2,26.6,33,18
"306","CORRIENTES, AR",1980-11-05,0,28.1,NA,22
"307","CORRIENTES, AR",1980-11-06,43.9,22.8,32,17
"308","CORRIENTES, AR",1980-11-07,0,24.4,NA,17
"309","CORRIENTES, AR",1980-11-08,5.1,14.7,28,11
"310","CORRIENTES, AR",1980-11-09,0,15.9,NA,NA
"311","CORRIENTES, AR",1980-11-10,0.5,17.7,NA,9
"312","CORRIENTES, AR",1980-11-11,0,20,NA,10
"313","CORRIENTES, AR",1980-11-12,0,21.7,NA,10
"314","CORRIENTES, AR",1980-11-13,0,18.2,26,13
"315","CORRIENTES, AR",1980-11-14,0,27.6,NA,15
"316","CORRIENTES, AR",1980-11-15,0,27.7,33,20
"317","CORRIENTES, AR",1980-11-16,NA,21.8,33,NA
"318","CORRIENTES, AR",1980-11-17,NA,25.9,NA,NA
"319","CORRIENTES, AR",1980-11-18,7.9,22.9,NA,21
"320","CORRIENTES, AR",1980-11-19,18,24.3,NA,19
"321","CORRIENTES, AR",1980-11-20,0,22,28,NA
"322","CORRIENTES, AR",1980-11-21,NA,22.9,NA,NA
"323","CORRIENTES, AR",1980-11-22,1,22.8,NA,20
"324","CORRIENTES, AR",1980-11-23,7.9,19.3,24,15
"325","CORRIENTES, AR",1980-11-24,0,21,NA,13
"326","CORRIENTES, AR",1980-11-25,0,23.5,30,16
"327","CORRIENTES, AR",1980-11-26,8.9,22.6,28,17
"328","CORRIENTES, AR",1980-11-27,1,23,26,20
